kind, [kaɪnd] (1) adj.善良 (2) n.種類
history, [ˋhɪstərɪ] n. 歷史
king, [kɪŋ] n. 國王
hit, [hɪt] vt. 打；擊中
kiss, [kɪs] vt. 吻
hold, [hold] vt. 握著
kitchen, [ˋkɪtʃɪn] n. 廚房
hole, [hol] n. 洞
kite, [kaɪt] n. 風箏
holiday, [ˋhɑlə͵de] n. 假日
kitten, [ˋkɪtn] n.小貓
kitty, [ˋkɪtɪ] n.小貓
home, [hom] n. 家
knee, [ni] n. 膝蓋
homework, [ˋhom͵wɝk] n.家庭作業
knife, [naɪf] n. 刀
hope, [hop] vt. 希望
know, [no] vt. 知道
horse, [hɔrs] n. 馬
lack, [læ k] vt. 缺少
hot, [hɑt] adj. 熱的
lady, [ˋledɪ] n. 女士
hour, [aʊr] n. 小時
lake, [lek] n. 湖泊
house, [haʊs] n. 房子
lamb, [læ m] n. 小羊
how, [haʊ] adv.如何
lamp, [læ mp] n. 燈
huge, [hjudʒ] adj. 巨大的
land, [læ nd] (1) n.陸地 (2) vt. vi. (使)降落
human, [ˋhjumən] n. 人類
large, [lɑrdʒ] adj. 寬的
hundred, [ˋhʌndrəd] n. 一百
last, [læ st] (1) adj. 最後的 (2) vi.持續
hungry, [ˋhʌŋgrɪ] adj. 飢餓的
late, [let] adj. 遲的
hurt, [hɝt] vt. vi. n. (使)受傷
laugh, [læ f] vi. 笑
husband, [ˋhʌzbənd] n. 丈夫
law, [lɔ] n. 法律
I, [aɪ] n. (主格)我
lay, [le] vt. 放；下蛋
ice, [aɪs] n. 冰
lazy, [ˋlezɪ] adj. 懶散的
idea, [aɪˋdiə] n. 主意
lead, [lid] (1) n. 領先；線索
if, [ɪf] conj. 如果
leader, [ˋlidɚ] n. 領袖
important, [ɪmˋpɔrtnt] adj. 重要的
leaf, [lif] n. 葉子
in, [ɪn] prep. 在…裡面
learn, [lɝn] vt. 學習
inch, [ɪntʃ] n. 英吋
least, [list] adj. 最小的
inside, [ˋɪnˋsaɪd] n. 內部
leave, [liv] vt. 離開
interest, [ˋɪntərɪst] n. 興趣
left, [lɛft] adj. 左方的
into, [ˋɪntu] prep. 到…裡
leg, [lɛg] n. 腿
iron, [ˋaɪɚn] n. 鐵
less, [lɛs] adj. 較少的
is, [ɪz] vi. (第三人稱)是
lesson, [ˋlɛsn] n. 一課
it, [ɪt] pron. 它
let, [lɛt] vt. 讓
its, [ɪts] pron. 它的
letter, [ˋlɛtɚ] n. (1)信件 (2)字母
jam, [dʒæ m] n. (1) 堵塞；果醬
level, [ˋlɛv!] n. 階級
January, [ˋdʒæ njʊ͵ɛrɪ] n. 一月
lie, [laɪ] vi. 躺
job, [dʒɑb] n. 工作
life, [laɪf] n. 生命
join, [dʒɑb] vt. 參加
lift, [lɪft] vt. 舉起
joke, [dʒok] n. 玩笑
light, [laɪt] (1) n.光 vt. vi.照亮 adj. 明亮的 (2) adj. 淺色的；輕的
joy, [dʒɔɪ] n. 歡樂
juice, [dʒus] n. 果汁
like, [laɪk] (1) prep.像 (2) vt.喜歡
July, [dʒuˋlaɪ] n. 七月
likely, [ˋlaɪklɪ] adj. 很可能的
lily, [ˋlɪlɪ] n. 百合
month, [mʌnθ] n. 月
line, [laɪn] n. 線
moon, [mun] n. 月亮
lion, [ˋlaɪən] n. 獅子
more, [mor] adj. adv. pron. 更多(的)
lip, [lɪp] n. 嘴唇
morning, [ˋmɔrnɪŋ] n. 早晨
list, [lɪst] n. 表單
most, [most] adj. adv. pron. 最多(的)
listen, [ˋlɪsn] vt. 聽
mother, [ˋmʌðɚ] n. 媽媽
little, [ˋlɪt!] adj. 小的 adv. 少
mountain, [ˋmaʊntn] n. 山
live, (1) [laɪv] adj.活的 (2) [lɪv] vi.活著
mouse, [maʊs] n. 老鼠
long, [lɔŋ] (1) adj.長的 (2) vi.渴望
mouth, [maʊθ] n. 嘴巴
look, [lʊk] vi. vt. 看
movement, [muvmənt] vi. 動作
lot, [lɑt] n. 很多；籤；一塊地
movie, n.電影 (=cinema)
loud, [laʊd] adj. 大聲的
love, [lʌv] vt. n. 愛
Mr., [ˋmɪstɚ] n. 先生
low, [lo] adj. 低的
Mrs., [ˋmɪsɪz] n. 太太
lucky, [ˋlʌkɪ] adj. 幸運的
Ms., [mɪz] n.女士(婚姻狀況不明)
lunch, [lʌntʃ] n. 午餐
luncheon, [ˋlʌntʃən] n. 午餐
much, [mʌtʃ] adj. adv. pron. 許多(的)
mud, [mʌd] n. 泥巴
machine, [məˋʃin] n. 機器
mug, [mʌg] n. 大杯子
mad, [mæ d] adj. 發飆的
music, [ˋmjuzɪk] n. 音樂
mail, [mel] n. 郵件
must, [mʌst] aux. 必須
make, [mek] vt. 做
my, [maɪ] pron. 我的
man, [mæ n] n. 男人
name, [nem] n. 名字
many, [ˋmɛnɪ] adj. 許多的
nation, [ˋneʃən] n. 國家
map, [mæ p] n. 地圖
nature, [ˋnetʃɚ] n. 大自然
