lest, [lɛst] conj. 以免
initiate, [ɪ`nɪʃɪɪt] vt.開始；創始
lieutenant, [lùtɛnənt] n.中尉
inland, [`ɪnlənd] adj.內地的
lifelong, [`laɪf͵lɔŋ] adj.一輩子的
innumerable, [ɪ`njumərəb!] adj.數不清的
likelihood, [`laɪklɪ͵hʊd] n.相似之處
inquire, [ɪn`kwaɪr] vt.vi.詢問；調查
lime, [laɪm] n.石灰
institute, [`ɪnstətjut] vt.設立 n.機構
limp, [lɪmp] vi.n.跛行
insure, [ɪn`ʃʊr] vt.投保；保證
linger, [`lɪŋgɚ] vi.徘徊
intent, [ɪn`tɛnt] n.意圖 adj.熱切的
livestock, [`laɪv͵stɑk] n.家畜
lizard, [`lɪzɚd] n.蜥蜴
miser, [`maɪzɚ] n.吝嗇鬼；守財奴
locomotive, [͵lokə`motɪv] n.火車頭
mistress, [`mɪstrɪs] n.女主人
locust, [`lokəst] n.蝗蟲
moan, [mon] n.vi.vt.呻吟
lodge, [lɑdʒ] n.小屋
mock, [mɑk] vt.vi.n.嘲笑
lofty, [`lɔftɪ] adj.崇高的
mode, [mod] n.模式
logo, [`logo] n.標誌
modernize, [`mɑdɚn͵aɪz] n.現代化
lonesome, [`lonsəm] adj.寂寞的
modify, [`mɑdə͵faɪ] vt.修改
longitude, [`lɑndʒə͵tjud] n.經度
mold, [mold] n.模型；模式；鑄模
lottery, [`lɑtərɪ] n.彩券；樂透
molecule, [`mɑlə͵kjul] n.分子
lotus, [`lotəs] n.蓮花
monarch, [`mɑnɚk] n.君王
lumber, [`lʌmbɚ] n.木材
monstrous, [`mɑnstrəs] adj.似怪物的
lump, [lʌmp] n.團；塊
mortal, [`mɔrt!] adj.會死的；致命的
magnify, [`mæ gnə͵faɪ] vt.vi.放大；擴大
moss, [mɔs] n.苔藓
maiden, [`medn] n.少女
motherhood, [`mʌðɚhʊd] n.母親身分
mainland, [`menlənd] n.大陸
motive, [`motɪv] n.動機
mainstream, [`men͵strim] n.主流
mound, [maʊnd] n.丘
maintenance, [`mentənəns] n.維持；保持
mount, [maʊnt] vt.vi.登上 n.底座
